6.952053478069525561e+00,-9.619130856625968562e+00,1.552755288135056766e+01
6.538067979708690025e+00,-8.997203561214579537e+00,4.141892475438833543e+01
5.371637783986942694e+00,-8.411115721934645961e+00,6.152375208006936447e+01
1.260527354201639838e+01,-9.388842187969288489e+00,3.634352013199180220e+01
1.171478603118812067e+01,-1.071135229141664880e+01,3.470622668165671598e+01
1.115920955689465899e+01,-9.730611858441241324e+00,3.357373555185868241e+01
1.071621185495382811e+01,-8.431913843119529517e+00,3.192242649880831351e+01
1.061157022826252927e+01,-8.529662347355298380e+00,3.265347306000340666e+01
1.047599040543332194e+01,-8.330195234281205785e+00,3.313046142557645624e+01
1.055020651509244622e+01,-8.098747578995627805e+00,3.349478540325165454e+01
1.050586652933710852e+01,-8.070554373937740777e+00,3.363192054668898123e+01
1.058616394668270644e+01,-8.047023766938108835e+00,3.385670553716847309e+01
1.052953869730023584e+01,-8.078746692656864070e+00,3.386332471405261657e+01
1.051102425837674481e+01,-8.041521635897412423e+00,3.424673301245128698e+01
1.005782398006624057e+01,-8.346808436115468410e+00,3.306297637328947303e+01
1.004134159993912689e+01,-8.692209541983004328e+00,3.288384307316471933e+01
9.866923843250038573e+00,-8.606892471378538190e+00,3.294892069331489637e+01
9.791865248658504939e+00,-8.647486510086764611e+00,3.327730871631843002e+01
9.711104648724305122e+00,-8.475702759056639835e+00,3.343081707362147625e+01
9.729156361287447652e+00,-8.458373336753057359e+00,3.348981559790185969e+01
9.658577421984023914e+00,-8.301732136117148997e+00,3.348789015165261418e+01
9.589610841351621673e+00,-8.189205248537994919e+00,3.376861833186900697e+01
9.505461405957856158e+00,-8.083356847060935380e+00,3.380336199242303508e+01
9.491485624399286891e+00,-8.031073143827232030e+00,3.399050114056714733e+01
